UniqueID,school,team,block,level,relative_start_time,relative_end_time,60_sec_start_time,60_sec_end_time,level_duration,gold_trophy,silver_trophy,won,GROUPID
CPS2-ASU-T44-ExpBlock2-370.8981,ASU,CPS2-ASU-T44,ExpBlock2,Scale,370.8981,464.2778,395,454,93.3797,1,0,1,1044
CPS2-ASU-T44-ExpBlock2-470.7766,ASU,CPS2-ASU-T44,ExpBlock2,Timing is Everything,470.7766,607.4173,538,597,136.6407,0,0,0,1044
CPS2-ASU-T44-ExpBlock2-616.4776,ASU,CPS2-ASU-T44,ExpBlock2,Fe2,616.4776,765.9157,696,755,149.4381,1,0,1,1044
CPS2-ASU-T44-ExpBlock2-777.8439999999999,ASU,CPS2-ASU-T44,ExpBlock2,Timing is Everything,777.844,900.009,840,899,122.165,0,0,0,1044
CPS2-ASU-T44-Warmup-39.0927,ASU,CPS2-ASU-T44,Warmup,Can Opener,39.0927,757.1712,688,747,718.0785,0,1,1,1044
CPS2-ASU-T44-Warmup-765.3656,ASU,CPS2-ASU-T44,Warmup,Yippie!,765.3656,899.993,840,899,134.6274,0,0,0,1044
CPS2-ASU-T45-ExpBlock1-146.4001,ASU,CPS2-ASU-T45,ExpBlock1,Fe2,146.4001,497.134,428,487,350.7339,1,0,1,1045
CPS2-ASU-T45-ExpBlock1-558.0681,ASU,CPS2-ASU-T45,ExpBlock1,Timing is Everything,558.0681,705.1812,636,695,147.1131,1,0,1,1045
CPS2-ASU-T45-ExpBlock1-712.3621,ASU,CPS2-ASU-T45,ExpBlock1,Green Apple,712.3621,834.579,765,824,122.2169,1,0,1,1045
CPS2-ASU-T45-ExpBlock1-9.862,ASU,CPS2-ASU-T45,ExpBlock1,Scale,9.862,141.0496,72,131,131.1876,1,0,1,1045
CPS2-ASU-T45-ExpBlock2-11.4062,ASU,CPS2-ASU-T45,ExpBlock2,Top spin,11.4062,728.0092,659,718,716.603,0,1,1,1045
CPS2-ASU-T45-ExpBlock2-735.8197,ASU,CPS2-ASU-T45,ExpBlock2,Think Ahead,735.8197,899.999,840,899,164.1793,0,0,0,1045
CPS2-ASU-T45-Warmup-128.8803,ASU,CPS2-ASU-T45,Warmup,Can Opener,128.8803,724.2768,655,714,595.3965,0,1,1,1045
CPS2-ASU-T45-Warmup-737.8933,ASU,CPS2-ASU-T45,Warmup,Spider Web,737.8933,899.997,840,899,162.1037,0,0,0,1045
CPS2-ASU-T46-ExpBlock1-109.5956,ASU,CPS2-ASU-T46,ExpBlock1,Fe2,109.5956,900.009,840,899,790.4134,0,0,0,1046
CPS2-ASU-T46-ExpBlock2-45.7482,ASU,CPS2-ASU-T46,ExpBlock2,Dolphin Show,45.7482,900.012,840,899,854.2638,0,0,0,1046
CPS2-ASU-T46-Warmup-366.8874,ASU,CPS2-ASU-T46,Warmup,Yippie!,366.8874,860.4064,791,850,493.519,0,1,1,1046
CPS2-ASU-T46-Warmup-69.0921,ASU,CPS2-ASU-T46,Warmup,Can Opener,69.0921,360.86,291,350,291.7679,0,1,1,1046
CPS2-ASU-T47-ExpBlock1-127.6323,ASU,CPS2-ASU-T47,ExpBlock1,Top spin,127.6323,471.6882,402,461,344.0559,0,0,0,1047
